ITEM_CODE,ITEM_NAME,PHYSICAL_QTY,PRICE,"DIFF QTY","DIFF VALUE",DEPT,GROUPS,SUBGROUPS
H0073,"L-ARTISAN BANANA COOKIES 80GM",,11.99,-9,-107.91,SUPERMARKET,BAKERY,"BANANA COOKIES"
X722,"PRINGLES PAPRIKA 40G   12",,19.99,36,719.64,SUPERMARKET,"FOOD CUPBOARD",SNACKS
X936,"LAUGHING COW LAVACHE QUIRIT CHEESE  8PCS 112G 36",,28.99,169,4899.31,SUPERMARKET,"FRESH DAIRY AND EGGS",cheeses
N857,"CUSSONS BABY SOAP MILD &GENTLE 70G 96",,5.99,94,563.06,SUPERMARKET,"HOME AND PERSONAL CARE","INFANT AND BABY CARE"
CL571,"CONTAINERS FANCY WITH LID 2500ML 26CMX18CMX8CM",,13.3,148,1968.4,"HOUSEWARE & KITCHENWARE","STORAGE AND ORGANIZER","STORAGE CONTAINERS"
99770,"BO-16 HAIR FOOD YELLOW 225ML  4",,27.99,0,0,SUPERMARKET,"HOME AND PERSONAL CARE","HAIR CARE"
96521,"MADAR ZONE BLEACH 500ML  12",,12.99,153,1987.47,SUPERMARKET,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
00048,"YAZOO BANANA DRINK 400ML 10",,32.99,155,5113.45,SUPERMARKET,BEVERAGES,DRINKS
00261,"AKAI DOOR RACK FOR BAR FRIDGE RF-N13SAI",,1,5,5,"Spare Parts",ZJL,ZP
00338,"REESES PEANUT BUTTER CUPS 42G 36",,20.99,288,6045.12,SUPERMARKET,"FOOD CUPBOARD",SNACKS
07979,"PEAK MILK POWDER TIN  400G 24",,109.99,87,9569.13,SUPERMARKET,"FOOD CUPBOARD","MILK AND CREAMERS"
101951,"CONTAINER RECTANGULAR SET OF 7PCS PLASTIC 5667-7",,59,8,472,"HOUSEWARE & KITCHENWARE","STORAGE AND ORGANIZER","STORAGE CONTAINERS"
103113,"KLEANZ BODY WASH VANILLA 750ML  20",,31.49,19,598.31,SUPERMARKET,"HOME AND PERSONAL CARE","PERSONAL WASH"
117646,"SOAP CASE PLASTIC UR-3144",,6.9,-12,-82.8,"HOUSEWARE & KITCHENWARE",BATHROOM,"SOAP DISH CASE DISPENSERS"
115645,"AKAI JUICER 1.2L 350W SS/BLACK JC006A-619",,649,23,14927,"ELECTRICAL APPLIANCES",JUICER,"CENTRIFUGAL JUICER"
109878,"NUMBER WRITING BOOK 1-100",,24.99,0,0,STATIONERY,"CHILDREN BOOKS AND GEN REF","BOOKS AND LEARNINGS"
110145,"BOWL 3000ML PLASTIC ELITE-4 P 556",,14.9,25,372.5,"HOUSEWARE & KITCHENWARE",DINNERWARE,BOWLS
122722,"KELLOGGS CORNFLAKES 300G  10 NGR",,47.99,90,4319.1,SUPERMARKET,"FOOD CUPBOARD","BREAKFAST CEREALS"
131547,"YOGA STRAWBERRY WITH WHEAT YOGHURT 330ML 1",,19.99,-6,-119.94,SUPERMARKET,"FRESH DAIRY AND EGGS",Yoghurt
125359,"ROMAR FABRIC SOFTENER TALC 750ML  15",,36.99,58,2145.42,SUPERMARKET,"HOME AND PERSONAL CARE","LAUNDRY CARE"
128827,"TASTY TOM JOLLOF MIX 1.1KG  12",,47.49,3,142.47,SUPERMARKET,"FOOD CUPBOARD","SPREADS AND TOPPING"
137497,"BUMBLE BABY WET WIPES BABY SCENTED 72PCS   12",,22.99,1,22.99,SUPERMARKET,"HOME AND PERSONAL CARE","INFANT AND BABY CARE"
148382,"LAUNDRY BASKET WSHELF SET IRON 2TIER F10013 RJK",,399,0,0,"HOUSEWARE & KITCHENWARE",LAUNDARY,"LAUNDARY BASKET"
148809,"CLOTHES HANGER 2LAYER MULTIPURPOSE METAL YWU",,199,117,23283,"HOUSEWARE & KITCHENWARE",LAUNDARY,"CLOTH HANGERS"
154755,"WATER FUN ANIMAL SILICONE MKR186713",,59,5,295,"TOYS AND ENTERTAINMENT","ROLE PLAY AND PRETEND TOYS","ANIMAL TOYS"
155211,"MSTA SHARPENER NO.7 (X07-3)(1X48) 134099",,5.9,5,29.5,STATIONERY,"OFFICE STATIONERY","OFFICE BASIC AND STATIONERY"
158512,"FESTIVAL FROM CUVEE 0% CHOCOLATE WINE DRINK 750ML",,49.99,-4,-199.96,SUPERMARKET,"BEVERAGES ALCOHOLIC",WINES
171351,"BELPAK FACIAL TISSUE BOX  36",,10.99,-24,-263.76,SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
169248,"BROOM WSTICK IDEAL GBB175",,24.9,16,398.4,"HOUSEWARE & KITCHENWARE","HOME HYGIENE","BROOM BRUSHES DUSTPANS"
168857,"CARVING KNIFE 725 CPQT018CR RJK",,16.9,-9,-152.1,"HOUSEWARE & KITCHENWARE","KNIFE AND CHOPPING BOARD","SINGLE KNIFE"
172967,"ARIEL HIGH STUD LAVENDER 1KG  12",,79.99,-6,-479.94,SUPERMARKET,"HOME AND PERSONAL CARE","LAUNDRY CARE"
165636,"NESTLE CARNATION TEA CREAMER 370G  24",,23.99,-60,-1439.4,SUPERMARKET,"FOOD CUPBOARD","MILK AND CREAMERS"
167502,"BEVERAGE DISPENSER  WLIDBASE 6L 97004W RJK",,239,4,956,"HOUSEWARE & KITCHENWARE",GLASSWARE,"DISPENSERS / DECANTER SETS"
178592,"VACCUM MUG 1200ML SSTEEL STEN TYPE YWU",,99,-19,-1881,"HOUSEWARE & KITCHENWARE",DINNERWARE,"METAL MUGS"
179577,"DIY HAIRBALL PICTURE CRAFT 22X22CM W/STAND ASST DE",,29.9,-5,-149.5,STATIONERY,"SCHOOL AND CHILDREN STATIONERY","ART AND HOBBY SETS"
178456,"BATH SCRUBBER COTTON AND LINEN YWU",,19.9,-9,-179.1,"HOUSEWARE & KITCHENWARE","HOME HYGIENE","SPONGE SCRUBBERS AND SCOURERS"
183268,"BEER GLASS 6PCS SET 390ML WILLY BW 4514 RJK",,49.9,-3,-149.7,"HOUSEWARE & KITCHENWARE",GLASSWARE,"BEER MUGS AND BEER GLASS"
181844,"BANKU PAN WLID 20CM ALUMINUM LDS016",,169,2,338,"HOUSEWARE & KITCHENWARE",COOKWARE,"POTS AND PAN"
191058,"KIVO NON-DIARY CREAMER 200G  26",,11.99,48,575.52,SUPERMARKET,"FOOD CUPBOARD","MILK AND CREAMERS"
190725,"MANICURE 6PCS SET YWU",,22.9,-9,-206.1,"HOUSEWARE & KITCHENWARE",BATHROOM,"BATHROOM ACCESSORIES"
200289,"H&H MAYONNAISE 250ML 12",,27.49,6,164.94,SUPERMARKET,"FOOD CUPBOARD","SPREADS AND TOPPING"
200317,"H&H BEEF LUNCHEON MEAT 340G  24",,43.99,177,7786.23,SUPERMARKET,"FOOD CUPBOARD","CANNED FOOD"
197089,"MCBERRY WHEAT PUFFS CEREAL WITH HONEY 19G 100",,2.19,-64,-140.16,SUPERMARKET,"FOOD CUPBOARD",BISCUITS
19816,"ENERGIZER BATTERY ALKALINE AA MAX-AA 1X12 BP3-1",,59.9,52,3114.8,"ELECTRICAL APPLIANCES",BATTERIES,BATTERY
202840,"WINE GLASS WITH DECANTER 7PCS SET G26012",,119,-4,-476,"HOUSEWARE & KITCHENWARE",GLASSWARE,"GLASS / TUMBLER /WINE / CHAMPAGNE"
31074,"ROYAL GALAXY WHITE SUGAR - 1KG  20",,33.99,0,0,SUPERMARKET,"FOOD CUPBOARD","SALT  SUGAR AND JAGGERY"
90608,"CURTAIN ROD SINGLE 120-210 11051-210PC",,119,12,1428,"HOME DECOR & TEXTILES","CURTAIN RODS","CURTAIN RODS"
92726,"FRUIT BASKET 25X13CM METAL WIRE Y2018 YWU",,65,-9,-585,"HOUSEWARE & KITCHENWARE","STORAGE AND ORGANIZER",BASKET
85679,"PLASTIC CONTAINERS WITH LID 20PCS HW650 RJK",,46.9,31,1453.9,"HOUSEWARE & KITCHENWARE","STORAGE AND ORGANIZER","STORAGE CONTAINERS"
91243,"SAIRO BABY SHAMPOO 750ML  16",,25.99,-14,-363.86,SUPERMARKET,"HOME AND PERSONAL CARE","INFANT AND BABY CARE"
91317,"FORTUNE DELICIOUS ALL PURPOSE MARGARINE 250G   60",,10.49,79,828.71,SUPERMARKET,"FOOD CUPBOARD","SPREADS AND TOPPING"
84633,"COAT STAND METAL YWU",,119,11,1309,"HOUSEWARE & KITCHENWARE",LAUNDARY,"CLOTH DRYER"
77928,"24PCS BIRTHDAY CANDLE",,4.9,-27,-132.3,"TOYS AND ENTERTAINMENT","PARTY SUPPLIES","CANDLES AND CANDLE STAND"
78281,"BINATONE BLENDER W/MILL 1.5L 500W BLG595/BLG595MK2",,839,0,0,"ELECTRICAL APPLIANCES","FOOD PROCESSOR/BLENDER",BLENDERS
D636,"HEINZ SALAD CREAM 285G 12",,44.99,210,9447.9,SUPERMARKET,"FOOD CUPBOARD","SPREADS AND TOPPING"
N925,"PRINGLES HOT & SPICY  165G  19",,44.99,-4,-179.96,SUPERMARKET,"FOOD CUPBOARD",SNACKS
00004,"TREND 2 CORDED PHONE",,9,0,0,"ELECTRONICS & TELECOM","PHONES ANDCOMMUNICATION DEVICES",TELEPHONE
00289,"DIMES JUICE APPLE PREMIUM 1L 12",,21.99,22,483.78,SUPERMARKET,BEVERAGES,JUICE
00323,"7UP REGULAR 320ML  24",,13.99,2210,30917.9,SUPERMARKET,BEVERAGES,DRINKS
00363,"ZWAN CHICKEN LUNCHEON MEAT 200G 12",,37.99,44,1671.56,SUPERMARKET,"FOOD CUPBOARD","CANNED FOOD"
04949,"EVERPACK SPOON PLASTIC 100PCS X 30PKTS  30",,20.99,117,2455.83,SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
07014,"YAZZ WASHING POWDER 1KG 10",,39.99,-2,-79.98,SUPERMARKET,"HOME AND PERSONAL CARE","LAUNDRY CARE"
100030,"NANA-S RICE LONG GRAIN RICE 5% BROKENNESS 1KG 20",,32.99,97,3200.03,SUPERMARKET,"FOOD CUPBOARD","RAW RICE"
105645,"DEEP PLATE 8INCHES PLASTIC AB3 SSPD YWU",,4.9,-6,-29.4,"HOUSEWARE & KITCHENWARE",SERVEWARE,"SERVING TRAYS"
106819,"SHINE PAPER PLATES ROUND 14CM  (25PCS)  40",,15.99,42,671.58,SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
115154,"CHATEAUX SANGRIA FORTE 500ML 24",,19.99,19,379.81,SUPERMARKET,"BEVERAGES ALCOHOLIC",WINES
113210,"BROOM WHANDLE BLUE PLASTIC BT168215",,29.9,12,358.8,"HOUSEWARE & KITCHENWARE","HOME HYGIENE","BROOM BRUSHES DUSTPANS"
113215,"BROOM W/HANDLE BLUE PINK PLASTIC 1692E",,42.9,25,1072.5,"HOUSEWARE & KITCHENWARE","HOME HYGIENE","BROOM BRUSHES DUSTPANS"
113787,"MCBERRY LONDON OATS DIGESTIVE 80G 36",,6.29,-9,-56.61,SUPERMARKET,"FOOD CUPBOARD",BISCUITS
125259,"SAIRO FAMILY SHOWER  GEL OLIVE 750ML  12",,29.99,93,2789.07,SUPERMARKET,"HOME AND PERSONAL CARE","PERSONAL WASH"
125262,"ROMAR FABRIC SOFTENER CONC. FLORA 2L  6",,81.99,1,81.99,SUPERMARKET,"HOME AND PERSONAL CARE","LAUNDRY CARE"
119267,"DOMS PENCIL SET 12PCS FUSION X-TRA SUPER DARK 7675",,28.9,13,375.7,STATIONERY,"GENERAL STATIONERY","   WRITING SUPPLIES"
127067,"AKAI STEAM IRON 2200W CERAMIC EI049A-281",,299,8,2392,"ELECTRICAL APPLIANCES","LINEN CARE","STEAM IRONS"
128552,"LAUNDRY BASKET COLLAPSIBLE A202203 RK",,29.9,8,239.2,"HOUSEWARE & KITCHENWARE",LAUNDARY,"LAUNDARY BASKET"
128776,"TEXTLIGHTER 12YRS+ LUXOR 2PCS 4011/2BC",,13.9,50,695,STATIONERY,"GENERAL STATIONERY","   WRITING SUPPLIES"
139701,"MCBERRY PURE DELIGHT VANILLA CAKE SLICES 27G 144",,2.99,26,77.74,SUPERMARKET,"FOOD CUPBOARD",SNACKS
13476,"LELE THAI RICE 5KG 5",,210.99,38,8017.62,SUPERMARKET,"FOOD CUPBOARD","RAW RICE"
134319,"PRIVATE MAXI POCKET SUPER 9 X 12",,15.49,0,0,SUPERMARKET,"HOME AND PERSONAL CARE","FEMININE CARE"
14811,"DEVA DISWASHING LIQUID LEMON 700ML 24 10404",,25.99,58,1507.42,SUPERMARKET,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
148569,"WATER BOTTLE 1000ML PLASTIC CHARACTER KIDS BTS YWU",,89,-1,-89,"HOUSEWARE & KITCHENWARE","FLASK AND BOTTLES",BOTTLE
145813,"BELPAK DISPENSER KITCHEN TOWEL (NON PERFORATED)  6",,41.99,160333,6732382.67,SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
14283,"CAMEL ZESTY LIME FRESH LIQUID 125ML 48",,16.99,-15,-254.85,SUPERMARKET,"HOME AND PERSONAL CARE","HEALTH AND WELLNESS"
150689,"AKAI WATER PUMP 1.5HP  WP001A-090",,799,0,0,"ELECTRICAL APPLIANCES","WATER PUMPS","CENTRIFUGAL WP"
162677,"DINNER PLATE MELAMINE 10 INCHES FEILU 102101",,12.9,-66,-851.4,"HOUSEWARE & KITCHENWARE","MELAMINE WARE","MEL PLATE"
164027,"JOLLY BASKET -SMALL  PLASTIC 50360",,9.9,-7,-69.3,"HOUSEWARE & KITCHENWARE","STORAGE AND ORGANIZER",BASKET
164314,"COFFEE AND TEA PRESS 500ML PLASTIC AP-9481",,19.9,-1,-19.9,"HOUSEWARE & KITCHENWARE",DINNERWARE,"TEA AND COFFEE SETS"
158495,"X NATURAL MINERAL WATER 500ML 16",,2.09,-15,-31.35,SUPERMARKET,BEVERAGES,"MINERAL WATER"
168208,"AKAI CHEST FREEZER SD 100L CF045AC-100W",,3089,0,0,"ELECTRICAL APPLIANCES",FREEZER,"SINGLE DOOR FREEZER"
183303,"MEASURING JUG 250ML PLASTIC BG-670",,9.9,-7,-69.3,"HOUSEWARE & KITCHENWARE",BAKEWARE,"BAKING TOOLS AND ACCESSORIES"
180215,"PRINCE PERFUME FOR HIM 50ML  6",,12.99,-33,-428.67,SUPERMARKET,"HOME AND PERSONAL CARE",FRAGRANCES
182385,"BBQ PORTABLE WCOOLER BAG",,99,-2,-198,"HOUSEWARE & KITCHENWARE",KITCHENWARE,"BAR TOOLS AND ACCESSORIES"
186184,"DECORATIVE PAINTING 30.8X23.6X20.4CM WN250810",,39.9,11,438.9,"HOME DECOR & TEXTILES","HOME DECOR","WallANDTable Decor"
204902,"IDEAL ORIGINAL EVAPORATED MILK 165G 24",,11.79,-113,-1332.27,SUPERMARKET,"FOOD CUPBOARD","MILK AND CREAMERS"
65188,"AKAI LED BULB 5W CDL E27 LB001A-5WE27C",,19,-11,-209,"ELECTRICAL APPLIANCES","LIGHT BULBS","LED BULB"
63990,"NIVEA MEN BODY LOTION MAXIMUM HYDRATION 400ML  12",,124.99,103,12873.97,SUPERMARKET,"HOME AND PERSONAL CARE","SKIN CARE"
23061,"CUSSONS BABY POWDER (MILD & GENTLE) 200G 48",,15.99,47,751.53,SUPERMARKET,"HOME AND PERSONAL CARE","INFANT AND BABY CARE"
85917,"YAZZ SANITARY PAD EXTRA LONG (9PADS)   24",,17.99,-11,-197.89,SUPERMARKET,"HOME AND PERSONAL CARE","FEMININE CARE"
91241,"SAIRO BATH&SHOWER GELGOLD EXCL. FRAGRANCE  750ML 8",,50.99,37,1886.63,SUPERMARKET,"HOME AND PERSONAL CARE","PERSONAL WASH"
89587,"AKAI LED LIGHT RECHARGEABLESMD  LS005RA-600/LS025A",,269,54,14526,"ELECTRICAL APPLIANCES",LIGHTING/LAMPS,"TORCH/ LANTERN"
87297,"BINATONE SANDWICH MAKER 2 SLICE ST-801",,445,9,4005,"ELECTRICAL APPLIANCES","SANDWICH MAKER","2 SLICE SANDWICH MAKER"
69470,"CADBURY HOT CHOCO DRINK 3IN1 360G  8",,44.99,48,2159.52,SUPERMARKET,BEVERAGES,"DRINKING POWDERS"
69807,"SHINE FAMILY DELUXE NAPKINS (30PKX50PCS)  30",,11.49,6,68.94,SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
X498,"MCVITIES SHORTBREAD 100G 24",,25.99,168,4366.32,SUPERMARKET,"FOOD CUPBOARD",BISCUITS
N485,"MENTOS ICE GUM PEPPERMINT 11.4G  288",,8.49,-144,-1222.56,SUPERMARKET,"FOOD CUPBOARD",CONFECTIONERY
98539,"GETTOL ANTISEPTIC LEMON 250ML  24",,18.99,226,4291.74,SUPERMARKET,"HOME AND PERSONAL CARE","HEALTH AND WELLNESS"
CL152,"BUCKET WITH LID 25LTR 38CMX39CM",,59,-1,-59,"HOUSEWARE & KITCHENWARE",LAUNDARY,"BUCKETS AND BASINS"
CL606,"MIXING BOWL LARGE 30CMX27CMX14CM",,19.9,-7,-139.3,"HOUSEWARE & KITCHENWARE",SERVEWARE,"SERVING BOWL"
98800,"IDEAL ORIGINAL EVAPORATED MILK 29G  10 X 18",,32.99,56,1847.44,SUPERMARKET,"FOOD CUPBOARD","DRINKING POWDER"
CL704,"QUEEN OF CASSEROLE 2PCS SET PLASTIC 850ML 1350ML",,38.9,-1,-38.9,"HOUSEWARE & KITCHENWARE",SERVEWARE,CASSEROLES
00131,"LAMPCEILING 1XB22 60W UFO270(WH)",,69,3,207,"ELECTRICAL APPLIANCES",LIGHTING/LAMPS,"CEILING LIGHTS"
00250,"CEILING LAMP 1XB22 60W UFO270(NS)",,65,30,1950,"ELECTRICAL APPLIANCES",LIGHTING/LAMPS,"CEILING LIGHTS"
00313,"HERMAN MAYONNAISE 16OZ  12",,44.99,34,1529.66,SUPERMARKET,"FOOD CUPBOARD","SPREADS AND TOPPING"
101901,"MATA GREEN PEAS IN BRINE E/O 400G  24",,15.99,62,991.38,SUPERMARKET,"FOOD CUPBOARD","CANNED FOOD"
102866,"KIDS LUNCH BOX MONKEY FACE PLASTIC L-00615",,19.9,-7,-139.3,"HOUSEWARE & KITCHENWARE","STORAGE AND ORGANIZER","LUNCH BOXES TIFFINS AND FOOD FLASK"
102516,"MOMEASY MEDICINE DISPENSER W/PLASTIC CASE 46072",,36.9,-2,-73.8,"TOYS AND ENTERTAINMENT",INFANTS,"BABY GENERAL CARE"
102981,"BABYMED POMADE 250ML  48",,25.99,25,649.75,SUPERMARKET,"HOME AND PERSONAL CARE","INFANT AND BABY CARE"
103889,"BLING DISINFECTANT GARDENIA 5L  4",,57.99,-7,-405.93,SUPERMARKET,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
106024,"SAMSUNG LED TV 32"" SAT SMART UA32T5300",,3689,26,95914,"ELECTRONICS & TELECOM","LED TV","SMART TV"
109289,"MORNING FRESH DISHWASH ORIGINAL 1000ML  12",,49.99,-67,-3349.33,SUPERMARKET,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
114371,"SHINE CRYSTAL TEASPOONS (50PCS)  50",,7.99,11,87.89,SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
108983,"FESTIVA  EVAPORATED MILK 170G 48",,7.49,-46,-344.54,SUPERMARKET,"FOOD CUPBOARD","MILK AND CREAMERS"
121825,"CLOTHES PEG SET 12PCS RAPID",,9.9,-3,-29.7,"HOUSEWARE & KITCHENWARE",LAUNDARY,"CLOTH PEGS / CLIP"
120165,"EVEREADY BATTERY AAA RED BP4",,11,-3,-33,"ELECTRICAL APPLIANCES",BATTERIES,BATTERY
125287,"AIRPRO AEROSOL LAVENDER  300ML  24",,28.99,20,579.8,SUPERMARKET,"HOME AND PERSONAL CARE",FRESHENERS
127749,"PAPER BOX CAKE HEIGHTEN 10 30X30X34CM YWU",,44.9,35,1571.5,"HOUSEWARE & KITCHENWARE",BAKEWARE,MOULDS
138815,"BALL PEN PROXIMA 25PC JAR BLACK DOMS 8658",,28.9,0,0,STATIONERY,"GENERAL STATIONERY","   WRITING SUPPLIES"
137273,"TOREN-TOREN WAFERS COCOA CREAM D FLAVOUR CW 55G144",,6.29,25,157.25,SUPERMARKET,"FOOD CUPBOARD",CONFECTIONERY
134388,"MCBERRY FRENCH DONUTS 35G  144",,2.49,45,112.05,SUPERMARKET,"FOOD CUPBOARD",SNACKS
